Label,Text
0,"i just have to say that is the coolest freaking kids costume ever. although it looks like he had a bit too much milk plus.i saw it when i was like 15. i think back and love the concept of the movie but i think i like it more now that im a little smartergreat film.one of the best films i ever viddied.great fucking movie!! one of the best ever.great movie. very unique!friggin awesome flick. loved the shining too. and even though the story was kinda boring, barry lyndon was a gorgeous flick. first half of full metal jacket was cool too.it's an incredible film. stanley kubrick is surely one of the greatest filmmakers of all-time. i would place him above welles, godard, dreyer, bergman, fellini and bunuel, and that's saying quite a bit.stanley kubrick, and seeing ""clockwork orange"" as a teenager were what made me start to study film as a potential art form, not just the hollywood products shoved into release dates that i was used to up until that point (and that, more and more, movies tend towards now). it was just so unique and powerful, and in a way, through its own antisocial nature, it gave me the strength to get through those uncertain high school years, where i often felt caged up and institutionalized like alex. a lot of people didn't understand it, wrote it off as too weird or disturbing (which it is, certainly was at the time, though times have changed), but then it's not meant to be a family film. i wrote like 2 papers on it in college.    although i for one think filmmakers are far too casual with releasing special edition dvd versions of movies these days, there's one movie where it'd be really nice to see just that, so we might have something with promotional materials and essays and documentaries detailing its influence and transition to the screen, and with any luck, a commentary by malcolm mcdowell and jan harlan detailing their thoughts about it, and kubrick himself (rip, stan).another fan here.    i even dressed like alex last saturday.        indeed."
0,"i saw it when i was like 15. i think back and love the concept of the movie but i think i like it more now that im a little smartergreat film.one of the best films i ever viddied.great fucking movie!! one of the best ever.great movie. very unique!friggin awesome flick. loved the shining too. and even though the story was kinda boring, barry lyndon was a gorgeous flick. first half of full metal jacket was cool too.it's an incredible film. stanley kubrick is surely one of the greatest filmmakers of all-time. i would place him above welles, godard, dreyer, bergman, fellini and bunuel, and that's saying quite a bit.stanley kubrick, and seeing ""clockwork orange"" as a teenager were what made me start to study film as a potential art form, not just the hollywood products shoved into release dates that i was used to up until that point (and that, more and more, movies tend towards now). it was just so unique and powerful, and in a way, through its own antisocial nature, it gave me the strength to get through those uncertain high school years, where i often felt caged up and institutionalized like alex. a lot of people didn't understand it, wrote it off as too weird or disturbing (which it is, certainly was at the time, though times have changed), but then it's not meant to be a family film. i wrote like 2 papers on it in college.    although i for one think filmmakers are far too casual with releasing special edition dvd versions of movies these days, there's one movie where it'd be really nice to see just that, so we might have something with promotional materials and essays and documentaries detailing its influence and transition to the screen, and with any luck, a commentary by malcolm mcdowell and jan harlan detailing their thoughts about it, and kubrick himself (rip, stan).another fan here.    i even dressed like alex last saturday.        indeed.great film, book and soundtrack. one of kubrick's best films, along with the shining."
0,"great film.one of the best films i ever viddied.great fucking movie!! one of the best ever.great movie. very unique!friggin awesome flick. loved the shining too. and even though the story was kinda boring, barry lyndon was a gorgeous flick. first half of full metal jacket was cool too.it's an incredible film. stanley kubrick is surely one of the greatest filmmakers of all-time. i would place him above welles, godard, dreyer, bergman, fellini and bunuel, and that's saying quite a bit.stanley kubrick, and seeing ""clockwork orange"" as a teenager were what made me start to study film as a potential art form, not just the hollywood products shoved into release dates that i was used to up until that point (and that, more and more, movies tend towards now). it was just so unique and powerful, and in a way, through its own antisocial nature, it gave me the strength to get through those uncertain high school years, where i often felt caged up and institutionalized like alex. a lot of people didn't understand it, wrote it off as too weird or disturbing (which it is, certainly was at the time, though times have changed), but then it's not meant to be a family film. i wrote like 2 papers on it in college.    although i for one think filmmakers are far too casual with releasing special edition dvd versions of movies these days, there's one movie where it'd be really nice to see just that, so we might have something with promotional materials and essays and documentaries detailing its influence and transition to the screen, and with any luck, a commentary by malcolm mcdowell and jan harlan detailing their thoughts about it, and kubrick himself (rip, stan).another fan here.    i even dressed like alex last saturday.        indeed.great film, book and soundtrack. one of kubrick's best films, along with the shining.that a brillent movie  and the look of it  it just brillent movie"
0,"one of the best films i ever viddied.great fucking movie!! one of the best ever.great movie. very unique!friggin awesome flick. loved the shining too. and even though the story was kinda boring, barry lyndon was a gorgeous flick. first half of full metal jacket was cool too.it's an incredible film. stanley kubrick is surely one of the greatest filmmakers of all-time. i would place him above welles, godard, dreyer, bergman, fellini and bunuel, and that's saying quite a bit.stanley kubrick, and seeing ""clockwork orange"" as a teenager were what made me start to study film as a potential art form, not just the hollywood products shoved into release dates that i was used to up until that point (and that, more and more, movies tend towards now). it was just so unique and powerful, and in a way, through its own antisocial nature, it gave me the strength to get through those uncertain high school years, where i often felt caged up and institutionalized like alex. a lot of people didn't understand it, wrote it off as too weird or disturbing (which it is, certainly was at the time, though times have changed), but then it's not meant to be a family film. i wrote like 2 papers on it in college.    although i for one think filmmakers are far too casual with releasing special edition dvd versions of movies these days, there's one movie where it'd be really nice to see just that, so we might have something with promotional materials and essays and documentaries detailing its influence and transition to the screen, and with any luck, a commentary by malcolm mcdowell and jan harlan detailing their thoughts about it, and kubrick himself (rip, stan).another fan here.    i even dressed like alex last saturday.        indeed.great film, book and soundtrack. one of kubrick's best films, along with the shining.that a brillent movie  and the look of it  it just brillent moviekubrick is probably the most overated director in movie history , but even he couldnt screw up source material like clockwork orange"
0,"great fucking movie!! one of the best ever.great movie. very unique!friggin awesome flick. loved the shining too. and even though the story was kinda boring, barry lyndon was a gorgeous flick. first half of full metal jacket was cool too.it's an incredible film. stanley kubrick is surely one of the greatest filmmakers of all-time. i would place him above welles, godard, dreyer, bergman, fellini and bunuel, and that's saying quite a bit.stanley kubrick, and seeing ""clockwork orange"" as a teenager were what made me start to study film as a potential art form, not just the hollywood products shoved into release dates that i was used to up until that point (and that, more and more, movies tend towards now). it was just so unique and powerful, and in a way, through its own antisocial nature, it gave me the strength to get through those uncertain high school years, where i often felt caged up and institutionalized like alex. a lot of people didn't understand it, wrote it off as too weird or disturbing (which it is, certainly was at the time, though times have changed), but then it's not meant to be a family film. i wrote like 2 papers on it in college.    although i for one think filmmakers are far too casual with releasing special edition dvd versions of movies these days, there's one movie where it'd be really nice to see just that, so we might have something with promotional materials and essays and documentaries detailing its influence and transition to the screen, and with any luck, a commentary by malcolm mcdowell and jan harlan detailing their thoughts about it, and kubrick himself (rip, stan).another fan here.    i even dressed like alex last saturday.        indeed.great film, book and soundtrack. one of kubrick's best films, along with the shining.that a brillent movie  and the look of it  it just brillent moviekubrick is probably the most overated director in movie history , but even he couldnt screw up source material like clockwork orangea clockwork orange is my second-favorite film."
0,"great movie. very unique!friggin awesome flick. loved the shining too. and even though the story was kinda boring, barry lyndon was a gorgeous flick. first half of full metal jacket was cool too.it's an incredible film. stanley kubrick is surely one of the greatest filmmakers of all-time. i would place him above welles, godard, dreyer, bergman, fellini and bunuel, and that's saying quite a bit.stanley kubrick, and seeing ""clockwork orange"" as a teenager were what made me start to study film as a potential art form, not just the hollywood products shoved into release dates that i was used to up until that point (and that, more and more, movies tend towards now). it was just so unique and powerful, and in a way, through its own antisocial nature, it gave me the strength to get through those uncertain high school years, where i often felt caged up and institutionalized like alex. a lot of people didn't understand it, wrote it off as too weird or disturbing (which it is, certainly was at the time, though times have changed), but then it's not meant to be a family film. i wrote like 2 papers on it in college.    although i for one think filmmakers are far too casual with releasing special edition dvd versions of movies these days, there's one movie where it'd be really nice to see just that, so we might have something with promotional materials and essays and documentaries detailing its influence and transition to the screen, and with any luck, a commentary by malcolm mcdowell and jan harlan detailing their thoughts about it, and kubrick himself (rip, stan).another fan here.    i even dressed like alex last saturday.        indeed.great film, book and soundtrack. one of kubrick's best films, along with the shining.that a brillent movie  and the look of it  it just brillent moviekubrick is probably the most overated director in movie history , but even he couldnt screw up source material like clockwork orangea clockwork orange is my second-favorite film.excellent movie, excellent book. people think i can't like both, but they're two seperate things. and i love both."
0,"it's an incredible film. stanley kubrick is surely one of the greatest filmmakers of all-time. i would place him above welles, godard, dreyer, bergman, fellini and bunuel, and that's saying quite a bit.stanley kubrick, and seeing ""clockwork orange"" as a teenager were what made me start to study film as a potential art form, not just the hollywood products shoved into release dates that i was used to up until that point (and that, more and more, movies tend towards now). it was just so unique and powerful, and in a way, through its own antisocial nature, it gave me the strength to get through those uncertain high school years, where i often felt caged up and institutionalized like alex. a lot of people didn't understand it, wrote it off as too weird or disturbing (which it is, certainly was at the time, though times have changed), but then it's not meant to be a family film. i wrote like 2 papers on it in college.    although i for one think filmmakers are far too casual with releasing special edition dvd versions of movies these days, there's one movie where it'd be really nice to see just that, so we might have something with promotional materials and essays and documentaries detailing its influence and transition to the screen, and with any luck, a commentary by malcolm mcdowell and jan harlan detailing their thoughts about it, and kubrick himself (rip, stan).another fan here.    i even dressed like alex last saturday.        indeed.great film, book and soundtrack. one of kubrick's best films, along with the shining.that a brillent movie  and the look of it  it just brillent moviekubrick is probably the most overated director in movie history , but even he couldnt screw up source material like clockwork orangea clockwork orange is my second-favorite film.excellent movie, excellent book. people think i can't like both, but they're two seperate things. and i love both.love it!i don't see what the problem is in liking both. ah, i like them both, too."
0,"stanley kubrick, and seeing ""clockwork orange"" as a teenager were what made me start to study film as a potential art form, not just the hollywood products shoved into release dates that i was used to up until that point (and that, more and more, movies tend towards now). it was just so unique and powerful, and in a way, through its own antisocial nature, it gave me the strength to get through those uncertain high school years, where i often felt caged up and institutionalized like alex. a lot of people didn't understand it, wrote it off as too weird or disturbing (which it is, certainly was at the time, though times have changed), but then it's not meant to be a family film. i wrote like 2 papers on it in college.    although i for one think filmmakers are far too casual with releasing special edition dvd versions of movies these days, there's one movie where it'd be really nice to see just that, so we might have something with promotional materials and essays and documentaries detailing its influence and transition to the screen, and with any luck, a commentary by malcolm mcdowell and jan harlan detailing their thoughts about it, and kubrick himself (rip, stan).another fan here.    i even dressed like alex last saturday.        indeed.great film, book and soundtrack. one of kubrick's best films, along with the shining.that a brillent movie  and the look of it  it just brillent moviekubrick is probably the most overated director in movie history , but even he couldnt screw up source material like clockwork orangea clockwork orange is my second-favorite film.excellent movie, excellent book. people think i can't like both, but they're two seperate things. and i love both.love it!i don't see what the problem is in liking both. ah, i like them both, too.a clockwork orange is one of the finest movies of all time, but i guess i still deserve to be shot."
0,"another fan here.    i even dressed like alex last saturday.        indeed.great film, book and soundtrack. one of kubrick's best films, along with the shining.that a brillent movie  and the look of it  it just brillent moviekubrick is probably the most overated director in movie history , but even he couldnt screw up source material like clockwork orangea clockwork orange is my second-favorite film.excellent movie, excellent book. people think i can't like both, but they're two seperate things. and i love both.love it!i don't see what the problem is in liking both. ah, i like them both, too.a clockwork orange is one of the finest movies of all time, but i guess i still deserve to be shot.anyone who would even consider comparing the two should be kicked in the yarbles...they are such different films."
0,"great film, book and soundtrack. one of kubrick's best films, along with the shining.that a brillent movie  and the look of it  it just brillent moviekubrick is probably the most overated director in movie history , but even he couldnt screw up source material like clockwork orangea clockwork orange is my second-favorite film.excellent movie, excellent book. people think i can't like both, but they're two seperate things. and i love both.love it!i don't see what the problem is in liking both. ah, i like them both, too.a clockwork orange is one of the finest movies of all time, but i guess i still deserve to be shot.anyone who would even consider comparing the two should be kicked in the yarbles...they are such different films.who doesn'nt like a clockwork orange"
0,"that a brillent movie  and the look of it  it just brillent moviekubrick is probably the most overated director in movie history , but even he couldnt screw up source material like clockwork orangea clockwork orange is my second-favorite film.excellent movie, excellent book. people think i can't like both, but they're two seperate things. and i love both.love it!i don't see what the problem is in liking both. ah, i like them both, too.a clockwork orange is one of the finest movies of all time, but i guess i still deserve to be shot.anyone who would even consider comparing the two should be kicked in the yarbles...they are such different films.who doesn'nt like a clockwork orangei was trying to figure out the title for a long time, and finally got a decent explaination. apparently it's a close reference to the uk slang for a slot machine. they call em' fruit machines (i just heard it used the other day in an arctic monkey's song!) and the fact it has inner workings like a clock. alex feels life is a gamble, etc etc.  any other theories?"
0,"kubrick is probably the most overated director in movie history , but even he couldnt screw up source material like clockwork orangea clockwork orange is my second-favorite film.excellent movie, excellent book. people think i can't like both, but they're two seperate things. and i love both.love it!i don't see what the problem is in liking both. ah, i like them both, too.a clockwork orange is one of the finest movies of all time, but i guess i still deserve to be shot.anyone who would even consider comparing the two should be kicked in the yarbles...they are such different films.who doesn'nt like a clockwork orangei was trying to figure out the title for a long time, and finally got a decent explaination. apparently it's a close reference to the uk slang for a slot machine. they call em' fruit machines (i just heard it used the other day in an arctic monkey's song!) and the fact it has inner workings like a clock. alex feels life is a gamble, etc etc.  any other theories?from the author's own words. even better! thanks."
0,"a clockwork orange is my second-favorite film.excellent movie, excellent book. people think i can't like both, but they're two seperate things. and i love both.love it!i don't see what the problem is in liking both. ah, i like them both, too.a clockwork orange is one of the finest movies of all time, but i guess i still deserve to be shot.anyone who would even consider comparing the two should be kicked in the yarbles...they are such different films.who doesn'nt like a clockwork orangei was trying to figure out the title for a long time, and finally got a decent explaination. apparently it's a close reference to the uk slang for a slot machine. they call em' fruit machines (i just heard it used the other day in an arctic monkey's song!) and the fact it has inner workings like a clock. alex feels life is a gamble, etc etc.  any other theories?from the author's own words. even better! thanks.it has the best movie ending ever :)"
